"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","testProcessRearrangeWithNoPreparedState()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testProcessRearrangeWithNoPreparedState"
"","0","testConcurrentPrepareAndRollback()","","Tue Jun 03 21:11:59 UTC 2025","skipped","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testConcurrentPrepareAndRollback"
"","214","testApplyRearrange()","","Tue Jun 03 21:11:58 UTC 2025","passed","Tue Jun 03 21:11:58 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testApplyRearrange"
"","3","testProcessRearrangeWithLocalFragments()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testProcessRearrangeWithLocalFragments"
"","0","sendShardFragment_forExistentShard_shouldReturnSuccessAndSaveFragments()","","Tue Jun 03 21:11:59 UTC 2025","skipped","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeNodeServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeNodeServiceTest","sendShardFragment_forExistentShard_shouldReturnSuccessAndSaveFragments"
"","10","testMultipleConcurrentRearranges()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testMultipleConcurrentRearranges"
"","0","testRollbackDuringPrepare()","","Tue Jun 03 21:11:59 UTC 2025","skipped","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testRollbackDuringPrepare"
"","3","testProcessRearrangeWithEmptyFragmentList()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testProcessRearrangeWithEmptyFragmentList"
"","0","sendShardFragment_forNewShard_shouldReturnSuccessAndSaveFragments()","","Tue Jun 03 21:11:59 UTC 2025","skipped","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeNodeServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeNodeServiceTest","sendShardFragment_forNewShard_shouldReturnSuccessAndSaveFragments"
"","15","testPrepareRearrangeWithNullShardMapping()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testPrepareRearrangeWithNullShardMapping"
"","2","testPrepareRearrangeWithEmptyMapping()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testPrepareRearrangeWithEmptyMapping"
"","26","testMoveShardToNonExistentNode()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testMoveShardToNonExistentNode"
"","14","testMoveNonExistentShard()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testMoveNonExistentShard"
"","3","testPrepareRearrangeWithValidMapping()","","Tue Jun 03 21:11:59 UTC 2025","passed","Tue Jun 03 21:11:59 UTC 2025","","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","vk.itmo.teamgray.sharded.storage.node.service.NodeManagementServiceTest","testPrepareRearrangeWithValidMapping"
